Player,Pos,Age,Team,H,HR,R,RBI,SB,AVG,BB%,K%,OPS,BABIP,wOBA,wRC+,LD%,EV,LA,Barrel%,HardHit%,Clutch,BsR,Fielding,WAR
Justin Turner,1B,39,BOS,154,23,86,96,4,0.276,0.081,0.176,0.8,0.304,0.346,114,0.2289999999999999,89.5,16.5,0.057,0.39,1.01,-3.5,-3.7,1.2
Jurickson Profar,OF,30,SDP,111,9,55,46,1,0.242,0.096,0.173,0.689,0.279,0.304,76,0.2269999999999999,86.5,14.8,0.04,0.317,0.26,-3,-12.8,-2
Jurickson Profar,OF,30,SDP,111,9,55,46,1,0.242,0.096,0.173,0.689,0.279,0.304,76,0.2269999999999999,86.5,14.8,0.04,0.317,0.26,-3,-12.8,-2
Julio Rodriguez,OF,22,SEA,180,32,102,103,37,0.275,0.066,0.245,0.818,0.33,0.347,126,0.185,92.7,8.5,0.119,0.52,-0.96,7,3.1,5.9
Juan Soto,OF,25,SDP,156,35,97,109,12,0.275,0.186,0.182,0.93,0.296,0.395,155,0.166,93.2,6.7,0.13,0.5529999999999999,-1.15,-4.3,-5,5.5
Josh Jung,3B,25,TEX,127,23,75,70,1,0.266,0.058,0.293,0.781,0.34,0.334,110,0.243,91.8,15,0.119,0.471,-0.79,-2.9,2.8,2.5
Josh Bell,1B,31,MIA,135,22,52,74,0,0.247,0.102,0.217,0.744,0.287,0.323,105,0.175,90.1,9.3,0.1009999999999999,0.426,-0.64,-5,-1.9,0.4
Josh Bell,1B,31,MIA,135,22,52,74,0,0.247,0.102,0.217,0.744,0.287,0.323,105,0.175,90.1,9.3,0.1009999999999999,0.426,-0.64,-5,-1.9,0.4
Jose Ramirez,3B,31,CLE,172,24,87,80,28,0.282,0.106,0.106,0.831,0.285,0.346,123,0.2239999999999999,90,18,0.07,0.4029999999999999,1.04,7,3.2,5.1
Jose Abreu,1B,36,HOU,128,18,62,90,0,0.237,0.071,0.2189999999999999,0.68,0.276,0.295,86,0.188,89,10.8,0.086,0.416,0.02,-4.1,-2,-0.6
Jorge Soler,OF,31,MIA,126,36,77,75,1,0.25,0.114,0.243,0.853,0.272,0.361,126,0.18,91.3,17.8,0.15,0.48,1.54,-3.7,-4.1,1.9
Jonathan India,2B,26,CIN,111,17,78,61,14,0.244,0.098,0.206,0.746,0.281,0.327,99,0.216,89.5,15.3,0.077,0.384,-0.79,-0.4,-4.8,1.2
Joey Meneses,DH,31,WSN,168,13,71,89,0,0.275,0.058,0.198,0.722,0.329,0.314,96,0.2019999999999999,89.4,9.4,0.054,0.417,1.21,-4.2,-1.3,-0.2
Jeremy Pena,SS,26,HOU,152,10,81,52,13,0.263,0.068,0.203,0.705,0.323,0.31,96,0.191,88,5.5,0.04,0.351,-2.17,0.1,2.2,2.8
Jeimer Candelario,3B,30,CHC,127,22,77,70,8,0.251,0.092,0.22,0.807,0.292,0.346,117,0.1939999999999999,88.3,14.1,0.078,0.363,1.09,1.2,0.5,3.3
Jeimer Candelario,3B,30,CHC,127,22,77,70,8,0.251,0.092,0.22,0.807,0.292,0.346,117,0.1939999999999999,88.3,14.1,0.078,0.363,1.09,1.2,0.5,3.3
Jeff McNeil,2B,31,NYM,158,10,75,55,10,0.27,0.06,0.1,0.711,0.288,0.314,100,0.201,86,14.4,0.013,0.27,0.6,1.7,2.8,2.6
Javier Baez,SS,31,DET,113,9,58,59,12,0.222,0.044,0.2289999999999999,0.593,0.274,0.261,61,0.181,88,9.3,0.051,0.3879999999999999,1.87,2.3,7.3,0.8
James Outman,OF,26,LAD,120,23,86,70,16,0.248,0.12,0.319,0.79,0.343,0.344,118,0.214,87.9,15.7,0.111,0.395,0.68,5.7,5,4.4
Jake Cronenworth,2B,29,SDP,105,10,54,48,6,0.229,0.088,0.186,0.689,0.267,0.301,92,0.222,87.3,15,0.044,0.332,-0.65,3.2,1.4,1
Jake Burger,3B,27,MIA,123,34,71,80,1,0.25,0.059,0.276,0.828,0.284,0.349,120,0.184,91.9,12.3,0.1669999999999999,0.493,-0.3,1.1,-5.8,2.5
Jake Burger,3B,27,MIA,123,34,71,80,1,0.25,0.059,0.276,0.828,0.284,0.349,120,0.184,91.9,12.3,0.1669999999999999,0.493,-0.3,1.1,-5.8,2.5
Jack Suwinski,OF,25,PIT,100,26,63,74,13,0.224,0.14,0.322,0.793,0.29,0.341,112,0.186,90.5,22.4,0.157,0.434,-1.21,5,-4.2,2.8
J.T. Realmuto,C,32,PHI,123,20,70,63,16,0.252,0.065,0.256,0.762,0.307,0.324,102,0.1989999999999999,89.8,16.6,0.1119999999999999,0.427,-1.87,-1.5,-13.2,1.5
J.P. Crawford,SS,28,SEA,142,19,94,65,2,0.266,0.147,0.196,0.818,0.314,0.359,134,0.2319999999999999,88.3,15.1,0.048,0.362,0.91,1.6,-6.6,4.9
J.D. Davis,3B,30,SFG,119,18,61,69,1,0.248,0.095,0.278,0.738,0.32,0.321,104,0.198,91.1,7.8,0.095,0.444,0.41,-2.3,3.2,2.2
Isaac Paredes,3B,24,TBR,123,31,71,98,1,0.25,0.102,0.182,0.84,0.257,0.362,137,0.211,86.9,22.2,0.059,0.283,-1.09,-1,-0.7,4.3
Ian Happ,OF,29,CHC,144,21,86,84,14,0.248,0.143,0.221,0.791,0.299,0.345,118,0.213,89.9,13,0.09,0.39,0.92,1.8,2.1,3.5
Hunter Renfroe,OF,31,CIN,116,20,60,60,0,0.233,0.08,0.228,0.713,0.27,0.308,92,0.173,88.3,15,0.061,0.3879999999999999,0.08,-1.5,0.5,0.6
Hunter Renfroe,OF,31,CIN,116,20,60,60,0,0.233,0.08,0.228,0.713,0.27,0.308,92,0.173,88.3,15,0.061,0.3879999999999999,0.08,-1.5,0.5,0.6
Ha-Seong Kim,2B,28,SDP,140,17,84,60,38,0.26,0.12,0.198,0.749,0.306,0.33,112,0.206,86.2,13.6,0.043,0.262,-0.14,5.1,5.8,4.4
Gunnar Henderson,SS,22,BAL,143,28,100,82,10,0.255,0.09,0.256,0.814,0.306,0.346,123,0.191,92,11.4,0.114,0.517,-0.29,5.2,0.2,4.6
Gleyber Torres,2B,26,NYY,163,25,90,68,13,0.273,0.1,0.146,0.8,0.288,0.346,123,0.211,89.7,15.1,0.079,0.4029999999999999,-1.15,-4.8,-4.6,3.2
George Springer,OF,34,TOR,158,21,87,72,20,0.258,0.088,0.183,0.732,0.291,0.32,104,0.204,88.3,12,0.077,0.3939999999999999,-0.06,-1.7,5,2.2
Freddie Freeman,1B,34,LAD,211,29,131,102,23,0.331,0.099,0.166,0.976,0.37,0.411,163,0.276,90,15.2,0.111,0.418,-1.5,5.1,4.3,7.9
Francisco Lindor,SS,30,NYM,153,31,108,98,31,0.254,0.096,0.1989999999999999,0.806,0.277,0.346,121,0.201,91.2,19.2,0.104,0.439,-1.01,7.7,4.1,6
Fernando Tatis Jr.,OF,24,SDP,148,25,91,78,29,0.257,0.083,0.222,0.77,0.299,0.332,113,0.192,91.9,11,0.11,0.489,0.03,3.1,15.5,4.4
Ezequiel Tovar,SS,22,COL,147,15,79,73,11,0.253,0.041,0.27,0.695,0.328,0.298,70,0.235,88,12.6,0.081,0.357,2.24,-0.6,11.6,1.6
Eugenio Suarez,3B,32,SEA,139,22,68,96,2,0.232,0.1009999999999999,0.308,0.714,0.314,0.313,102,0.228,90.3,18.9,0.127,0.43,0.11,-3.2,7.1,3.2
Enrique Hernandez,SS,32,LAD,110,11,57,61,4,0.237,0.067,0.191,0.646,0.273,0.282,72,0.19,87.8,17,0.046,0.3339999999999999,0.43,-3.1,-12.9,-1.3
Enrique Hernandez,SS,32,LAD,110,11,57,61,4,0.237,0.067,0.191,0.646,0.273,0.282,72,0.19,87.8,17,0.046,0.3339999999999999,0.43,-3.1,-12.9,-1.3
Elias Diaz,C,33,COL,130,14,48,72,1,0.267,0.065,0.2239999999999999,0.725,0.324,0.314,81,0.172,88.1,12.7,0.062,0.384,1.53,-0.5,-12.5,0
Eddie Rosario,OF,32,ATL,122,21,64,74,3,0.255,0.066,0.236,0.755,0.3,0.322,100,0.221,88.6,14.5,0.095,0.351,1.2,-1.6,4.3,1.4
Dominic Smith,1B,28,WSN,134,12,57,46,1,0.254,0.08,0.155,0.692,0.286,0.306,90,0.201,86.3,12.8,0.066,0.308,0.37,-3.9,3.1,0.1
DJ LeMahieu,3B,35,NYY,121,15,55,44,2,0.243,0.107,0.222,0.718,0.295,0.315,101,0.19,89.6,3.8,0.059,0.431,0,-7,1,1.1
Daulton Varsho,OF,27,TOR,116,20,65,61,16,0.22,0.077,0.2319999999999999,0.674,0.256,0.293,85,0.203,87.8,20.5,0.073,0.36,-0.34,2.8,12.6,2.1
Dansby Swanson,SS,29,CHC,138,22,81,80,9,0.244,0.103,0.241,0.744,0.297,0.325,104,0.203,89.3,13,0.109,0.395,-1.12,4.6,13.7,4.9
Corey Seager,SS,29,TEX,156,33,88,96,2,0.327,0.091,0.1639999999999999,1.013,0.34,0.419,169,0.203,93.3,13,0.152,0.532,0.38,-5.4,0,6.1
Corbin Carroll,OF,23,ARI,161,25,116,76,54,0.285,0.088,0.1939999999999999,0.868,0.325,0.37,133,0.19,90,11,0.076,0.409,1.5,15.8,0.6,6
Cody Bellinger,OF,28,CHC,153,26,95,97,20,0.307,0.072,0.156,0.881,0.319,0.37,134,0.208,87.9,17.2,0.061,0.314,-0.69,2.7,-1.2,4.1
CJ Abrams,SS,23,WSN,138,18,83,64,47,0.245,0.052,0.192,0.712,0.279,0.306,90,0.182,87.4,13.5,0.069,0.357,-0.82,9.5,-8.1,2.1
Christian Yelich,OF,31,MIL,153,19,106,76,28,0.278,0.123,0.222,0.818,0.342,0.353,122,0.198,91.7,3.5,0.093,0.499,0.27,7.5,2.9,4.1
Christian Walker,1B,32,ARI,150,33,86,103,11,0.258,0.094,0.192,0.83,0.272,0.351,120,0.168,88,15.8,0.1119999999999999,0.401,0.36,0.6,10.5,3.8
Carlos Santana,1B,37,MIL,132,23,78,86,6,0.24,0.105,0.168,0.747,0.255,0.323,101,0.182,88.8,12.8,0.067,0.362,0.67,2.2,3.8,1.7
Carlos Santana,1B,37,MIL,132,23,78,86,6,0.24,0.105,0.168,0.747,0.255,0.323,101,0.182,88.8,12.8,0.067,0.362,0.67,2.2,3.8,1.7
Carlos Correa,SS,29,MIN,118,18,60,65,0,0.23,0.102,0.226,0.711,0.272,0.309,96,0.2019999999999999,90.4,10.6,0.096,0.4589999999999999,-1.21,-9.2,-2.4,1.1
Cal Raleigh,C,27,SEA,119,30,78,75,0,0.232,0.095,0.278,0.762,0.273,0.326,111,0.1989999999999999,89.6,20.3,0.126,0.407,-1.27,-0.8,13.4,4.7
Bryson Stott,2B,26,PHI,164,15,78,62,31,0.28,0.061,0.156,0.747,0.312,0.323,101,0.209,88.1,10.2,0.047,0.352,1.09,5.3,9.1,3.9
Bryce Harper,1B,31,PHI,134,21,84,72,11,0.293,0.147,0.218,0.9,0.352,0.384,142,0.249,91.8,9.1,0.152,0.4679999999999999,2.24,-2.5,0.7,3.3
Bryan Reynolds,OF,28,PIT,151,24,85,84,12,0.263,0.083,0.216,0.79,0.304,0.338,110,0.24,90.9,10.9,0.111,0.471,-0.26,1.9,-2,2.3
Bryan De La Cruz,OF,26,MIA,149,19,60,78,4,0.257,0.064,0.2269999999999999,0.715,0.307,0.309,92,0.233,89.9,11.8,0.088,0.424,0.79,-2.7,-4.1,0.2
Brent Rooker,OF,29,OAK,114,30,61,69,4,0.246,0.093,0.327,0.817,0.317,0.348,127,0.193,91.6,17.6,0.156,0.495,-0.26,0,-4.4,2
Brandon Nimmo,OF,30,NYM,162,24,89,68,3,0.274,0.109,0.214,0.829,0.324,0.359,130,0.198,91.8,12.2,0.095,0.477,-0.76,-2.6,-3.5,4.3
Brandon Drury,2B,31,LAA,127,26,61,83,0,0.262,0.048,0.26,0.803,0.308,0.339,114,0.192,89.9,11.8,0.11,0.4629999999999999,-0.62,-4.1,4.7,2.5
Bobby Witt Jr.,SS,23,KCR,177,30,97,96,49,0.276,0.058,0.174,0.813,0.295,0.343,115,0.184,90.7,15.7,0.115,0.4539999999999999,-1.18,7,9.2,5.7
Bo Bichette,SS,25,TOR,175,20,69,73,5,0.306,0.045,0.191,0.814,0.355,0.349,125,0.2739999999999999,90.2,6.1,0.096,0.449,-0.22,-1.7,-3.3,3.8
Austin Riley,3B,26,ATL,179,37,117,97,3,0.281,0.083,0.241,0.861,0.324,0.363,127,0.185,92.3,13.5,0.139,0.488,-0.4,2.1,-0.2,5.2
